Address,Group,NFT Balance,ETH Balance,Last Update
0x2ECDA37F07E21FEEDE995F8D6448C9091FEF40AB,RSBBI,4,0.053451042,2022-02-01 13:34:46
0xA00CB0FF97A8D2F0A160560BF0C58586D1E7B2CE,PT,6,0.07928116799999993,2022-02-01 13:34:15
0x63C3065B65C74349E9785FC030CDDE7829FD7066,RSBBI,7,0.11064151999999994,2022-02-01 13:34:49
0xF736B3416978F2811E8869A37480F6089BD009F0,RSBBI,8,0.12146928,2022-02-01 13:34:50
0xBD4EA81749D8CD03D85A075CE472F52EDF6E885E,PT,5,0.077072975,2022-02-01 13:34:40
0xD2BD771F384EE607BCF3119A65C4DD4A78549225,RSBBI,5,0.065594825,2022-02-01 13:34:51
0x592247009558C7C8B7B4DB30D174AB59C90BD34D,RSBBI,8,0.10674477,2022-02-01 13:34:48
0xC51567A7ECC9440B25B26CCBEFC3A80558D1E7B3,PT,5,0.068145525,2022-02-01 13:34:52
0x47553816B2C4E811C2353CE5AF4EEEC32E254291,EBIT,5,0.063044125,2022-02-01 13:34:32
0xD9F0E5DC6D0B0234535D90E99D6DA7795D51A980,PT,5,0.066870175,2022-02-01 13:34:43
0x9BBB8E1173120B0F57532B31F3B1203507D7A6B4,PT,4,0.046651756,2022-02-01 13:34:44
0x289625114F4E625F9866660E51B0B3A9A489BB53,PT,7,0.08983397599999994,2022-02-01 13:34:22
0xD92E65A7622C164162AC1FA89D0C173B9C019FDE,RSBBI,6,0.08981375999999994,2022-02-01 13:34:45
0xF639942688A3C4A80B21196024DC073022167177,BBG,4,0.045605712,2022-02-01 13:34:36
0x03BC292FCBEC10F96C835A9FF8584183C774B0B8,PT,5,0.078348325,2022-02-01 13:34:42
0x24A90261C82F87FD67A004F4747F7E4358F9A2B3,BBG,5,0.077072975,2022-02-01 13:34:33
0x160F2FFACD6A18271DE08CB139ED35A4C8058B9C,PT,6,0.08981375999999994,2022-02-01 13:34:18
0x6207DC6E110F5FDCAC64DF122DA8663B70B2A0A4,PT,4,0.049266866,2022-02-01 13:34:37
0xD243B281FE5CEDE4CBCBBD205D309B6C29518669,EBIT,8,0.09692843,2022-02-01 13:34:29
0xF32CAC20F6EB30F129347F1185F971D2DBE6FBD2,PT,4,0.049266866,2022-02-01 13:34:38
0x8FED324AAB430D0C032636DCAE0538705DC4A731,PT,0,0.372963341,2022-02-01 13:34:25
0xD86C4BEE315929FF8CD7FA9F2161AF456F87A321,BBG,7,0.09590284299999993,2022-02-01 13:34:35
0xA39055392892E8BB13388723487549D891F0F69A,EBIT,4,0.046651756,2022-02-01 13:34:30
0x9CAD8861C8A63B558161C2CDD388C8DAC61BA402,RGN,8,0.07101956354657295,2022-02-01 13:34:08
0x8BD0BD1B7917A990659B2C7DFC9C2356F20C0C66,EBIT,5,0.06495715,2022-02-01 13:34:26
0xD76C17C4115DB49F4A73F39C5086B83BEBAF45EB,PT,4,0.051358954,2022-02-01 13:34:23
0xB9DB06F71FBB1ABC98D27F7B950FFB8D2434B698,EBIT,5,0.06750785,2022-02-01 13:34:31
0x27493227D0F6FE5E62EA42615A6FE600BA8780E7,PT,5,0.07005855,2022-02-01 13:34:19
0xA44EF10F2C854BACB0CA37691BA722D3586DFEA3,PT,8,0.11165294,2022-02-01 13:34:24
0x3E4FBA48DEEA299A97CB123250D5A39942F51D24,RGN,6,0.07326254399999993,2022-02-01 13:34:11
0xB36AAAA428CCA89C9269A33D91E58B6120728661,PT,6,0.08981375999999994,2022-02-01 13:34:20
0x89F9693AD5FE88B92213B1F39254093C82034F3D,PT,6,0.08680444799999994,2022-02-01 13:34:16
0x76DE2E598557C126CCA85C1E03EE8DBCEE949A0E,RGN,7,0.08896699499999994,2022-02-01 13:34:01
0xC0C2CF49BAB6FDA11A37EF1CF2CD7CFF1BF262A7,PT,8,0.103799868,2022-02-01 13:34:17
0x30C831DCAD20FF329459590FF3F6C419C22FF838,RGN,4,0.046128734,2022-02-01 13:34:12
0xC971FC8CA91D0CDCEBB330D2D94ABDB23157C7F7,RGN,5,0.066870175,2022-02-01 13:34:13
