From ,Whitelist,Amount
0x8F3eF769968AA15835AfCA917953074C5470EC71,0xDf01481aDf4Aa093ca1B0594D6979D9f11E3ccD0,16
0x8F3eF769968AA15835AfCA917953074C5470EC71,0xF5Ce5F2eaf389cE5Eee44c86887db2A92170a6e3,12
0x8F3eF769968AA15835AfCA917953074C5470EC71,0xfA79c44319ca28CE4b51c75437f57271eF2175AA,10
0x8F3eF769968AA15835AfCA917953074C5470EC71,0xC5d31dBf05c125b5e6c6433BB4290601921041F6,5
0x8F3eF769968AA15835AfCA917953074C5470EC71,0xef5bc986a2Ac11CF929C39F1c56AA72aC47aD6D1,1
